word,tag,wn_label,mw_label,comb_label
device,NN,neutral,neutral,neutral
touch,NN,neutral,neutral,neutral
screen,NN,neutral,neutral,neutral
user,NN,neutral,neutral,neutral
information,NN,neutral,neutral,neutral
battery,NN,neutral,neutral,neutral
viewer,NN,neutral,neutral,neutral
alarm,NN,neutral,neutral,neutral
clock,NN,neutral,neutral,neutral
radio,NN,neutral,neutral,neutral
photo,NN,neutral,neutral,neutral
frame,NN,neutral,neutral,neutral
uses,NNS,neutral,neutral,neutral
applications,NNS,neutral,neutral,neutral
sale,NN,neutral,neutral,neutral
users,NNS,neutral,neutral,neutral
countries,NNS,neutral,neutral,neutral
message,NN,neutral,neutral,neutral
error,NN,neutral,neutral,neutral
software,NN,neutral,neutral,neutral
upgrade,NN,neutral,neutral,neutral
service,NN,neutral,neutral,neutral
power,NN,neutral,neutral,neutral
settings,NNS,neutral,neutral,neutral
mains,NNS,neutral,neutral,neutral
electricity,NN,neutral,neutral,neutral
volts,NNS,neutral,neutral,neutral
versions,NNS,neutral,neutral,neutral
hardware,NN,neutral,neutral,neutral
backup,NN,neutral,neutral,neutral
revision,NN,neutral,neutral,neutral
streaming,NN,neutral,neutral,neutral
content,NN,neutral,neutral,neutral
response,NN,neutral,neutral,neutral
fixes,NNS,neutral,neutral,neutral
leap,NN,neutral,neutral,neutral
firmware,NN,neutral,neutral,neutral
update,NN,neutral,neutral,neutral
problem,NN,neutral,neutral,neutral
control,NN,neutral,neutral,neutral
panel,NN,neutral,neutral,neutral
dash,NN,neutral,neutral,neutral
devices,NNS,neutral,neutral,neutral
functionality,NN,neutral,neutral,neutral
patch,NN,neutral,neutral,neutral
dashes,NNS,neutral,neutral,neutral
servers,NNS,neutral,neutral,neutral
off,NN,not_found,neutral,neutral
magazine,NN,neutral,neutral,neutral
work,NN,neutral,neutral,neutral
product,NN,neutral,neutral,neutral
page,NN,neutral,neutral,neutral
hotel,NN,neutral,neutral,neutral
architecture,NN,neutral,neutral,neutral
century,NN,neutral,neutral,neutral
housing,NN,neutral,neutral,neutral
needs,NNS,neutral,neutral,neutral
railway,NN,neutral,neutral,neutral
style,NN,neutral,neutral,neutral
floor,NN,neutral,neutral,neutral
architect,NN,neutral,neutral,neutral
structure,NN,neutral,neutral,neutral
elements,NNS,neutral,neutral,neutral
movement,NN,neutral,neutral,neutral
courtyard,NN,neutral,neutral,neutral
landscape,NN,neutral,neutral,neutral
gardens,NNS,neutral,neutral,neutral
spies,NNS,neutral,neutral,neutral
movements,NNS,neutral,neutral,neutral
