no_defs,no_words,seed_pairs,accuracy_merriam,accuracy_wordnet,accuracy_dictcom,accuracy_comb
4,5,7,0.78,0.76,0.81,0.81
4,5,8,0.78,0.76,0.81,0.81
4,10,2,0.61,0.72,0.71,0.7
4,10,3,0.67,0.77,0.77,0.76
4,10,4,0.7,0.78,0.8,0.79
4,10,5,0.77,0.84,0.86,0.84
4,10,6,0.78,0.82,0.85,0.84
4,10,7,0.78,0.82,0.85,0.84
4,10,8,0.78,0.82,0.85,0.84
4,15,2,0.61,0.71,0.72,0.71
4,15,3,0.67,0.76,0.77,0.77
4,15,4,0.7,0.77,0.8,0.8
4,15,5,0.77,0.83,0.86,0.85
4,15,6,0.78,0.83,0.85,0.84
4,15,7,0.78,0.83,0.85,0.84
4,15,8,0.78,0.83,0.85,0.84
4,20,2,0.61,0.71,0.72,0.71
4,20,3,0.67,0.76,0.78,0.77
4,20,4,0.7,0.77,0.81,0.8
4,20,5,0.77,0.83,0.87,0.87
4,20,6,0.78,0.83,0.86,0.86
4,20,7,0.78,0.83,0.86,0.86
4,20,8,0.78,0.83,0.86,0.86
4,25,2,0.61,0.71,0.72,0.71
4,25,3,0.67,0.76,0.78,0.77
4,25,4,0.7,0.77,0.81,0.8
4,25,5,0.77,0.83,0.87,0.87
4,25,6,0.78,0.83,0.86,0.86
4,25,7,0.78,0.83,0.86,0.86
4,25,8,0.78,0.83,0.86,0.86
4,30,2,0.61,0.71,0.72,0.71
4,30,3,0.67,0.76,0.77,0.77
4,30,4,0.7,0.77,0.8,0.8
4,30,5,0.77,0.83,0.86,0.87
4,30,6,0.78,0.83,0.85,0.86
4,30,7,0.78,0.83,0.85,0.86
4,30,8,0.78,0.83,0.85,0.86
4,35,2,0.61,0.71,0.72,0.71
4,35,3,0.67,0.76,0.77,0.77
4,35,4,0.7,0.77,0.8,0.8
4,35,5,0.77,0.83,0.86,0.87
4,35,6,0.78,0.83,0.85,0.86
4,35,7,0.78,0.83,0.85,0.86
4,35,8,0.78,0.83,0.85,0.86
5,5,2,0.61,0.69,0.68,0.66
5,5,3,0.66,0.74,0.75,0.73
5,5,4,0.69,0.72,0.76,0.75
5,5,5,0.76,0.76,0.81,0.81
5,5,6,0.78,0.76,0.81,0.81
5,5,7,0.78,0.75,0.81,0.81
5,5,8,0.78,0.75,0.81,0.81
5,10,2,0.61,0.72,0.71,0.69
5,10,3,0.67,0.76,0.77,0.75
5,10,4,0.7,0.77,0.8,0.78
5,10,5,0.77,0.83,0.86,0.84
5,10,6,0.78,0.81,0.85,0.83
5,10,7,0.78,0.81,0.85,0.83
5,10,8,0.78,0.81,0.85,0.83
5,15,2,0.61,0.7,0.72,0.7
5,15,3,0.67,0.75,0.77,0.76
5,15,4,0.7,0.76,0.8,0.79
5,15,5,0.77,0.82,0.86,0.84
5,15,6,0.78,0.82,0.85,0.84
5,15,7,0.78,0.82,0.85,0.84
5,15,8,0.78,0.82,0.85,0.84
5,20,2,0.61,0.7,0.72,0.7
5,20,3,0.67,0.75,0.78,0.76
5,20,4,0.7,0.76,0.81,0.79
5,20,5,0.77,0.82,0.88,0.86
5,20,6,0.78,0.82,0.87,0.85
5,20,7,0.78,0.82,0.87,0.85
5,20,8,0.78,0.82,0.87,0.85
5,25,2,0.61,0.7,0.72,0.7
5,25,3,0.67,0.75,0.78,0.76
5,25,4,0.7,0.76,0.81,0.79
5,25,5,0.77,0.82,0.88,0.86
5,25,6,0.78,0.82,0.87,0.85
5,25,7,0.78,0.82,0.87,0.85
5,25,8,0.78,0.82,0.87,0.85
5,30,2,0.61,0.7,0.72,0.7
5,30,3,0.67,0.75,0.77,0.76
5,30,4,0.7,0.76,0.8,0.79
5,30,5,0.77,0.82,0.87,0.86
5,30,6,0.78,0.82,0.87,0.85
5,30,7,0.78,0.82,0.87,0.85
5,30,8,0.78,0.82,0.87,0.85
5,35,2,0.61,0.7,0.72,0.7
5,35,3,0.67,0.75,0.77,0.76
5,35,4,0.7,0.76,0.8,0.79
5,35,5,0.77,0.82,0.87,0.86
5,35,6,0.78,0.82,0.87,0.85
5,35,7,0.78,0.82,0.87,0.85
5,35,8,0.78,0.82,0.87,0.85
6,5,2,0.61,0.69,0.68,0.66
6,5,3,0.66,0.74,0.75,0.73
6,5,4,0.69,0.72,0.76,0.75
6,5,5,0.76,0.76,0.81,0.81
6,5,6,0.78,0.76,0.81,0.81
6,5,7,0.78,0.75,0.81,0.81
6,5,8,0.78,0.75,0.81,0.81
6,10,2,0.61,0.72,0.71,0.69
6,10,3,0.67,0.76,0.77,0.75
6,10,4,0.7,0.77,0.8,0.78
6,10,5,0.77,0.83,0.86,0.84
6,10,6,0.78,0.81,0.85,0.83
6,10,7,0.78,0.81,0.85,0.83
6,10,8,0.78,0.81,0.85,0.83
6,15,2,0.61,0.7,0.72,0.7
6,15,3,0.67,0.75,0.77,0.76
6,15,4,0.7,0.76,0.8,0.79
6,15,5,0.77,0.82,0.86,0.84
6,15,6,0.78,0.82,0.85,0.84
6,15,7,0.78,0.82,0.85,0.84
6,15,8,0.78,0.82,0.85,0.84
6,20,2,0.61,0.7,0.72,0.7
6,20,3,0.67,0.75,0.78,0.76
6,20,4,0.7,0.76,0.81,0.79
6,20,5,0.77,0.82,0.88,0.86
6,20,6,0.78,0.82,0.87,0.85
6,20,7,0.78,0.82,0.87,0.85
6,20,8,0.78,0.82,0.87,0.85
6,25,2,0.61,0.7,0.72,0.7
6,25,3,0.67,0.75,0.78,0.76
6,25,4,0.7,0.76,0.81,0.79
6,25,5,0.77,0.82,0.88,0.86
6,25,6,0.78,0.82,0.87,0.85
6,25,7,0.78,0.82,0.87,0.85
6,25,8,0.78,0.82,0.87,0.85
6,30,2,0.61,0.7,0.72,0.7
6,30,3,0.67,0.75,0.77,0.76
6,30,4,0.7,0.76,0.8,0.79
6,30,5,0.77,0.82,0.87,0.86
6,30,6,0.78,0.82,0.87,0.85
6,30,7,0.78,0.82,0.87,0.85
6,30,8,0.78,0.82,0.87,0.85
6,35,2,0.61,0.7,0.72,0.7
6,35,3,0.67,0.75,0.77,0.76
6,35,4,0.7,0.76,0.8,0.79
6,35,5,0.77,0.82,0.87,0.86
6,35,6,0.78,0.82,0.87,0.85
6,35,7,0.78,0.82,0.87,0.85
6,35,8,0.78,0.82,0.87,0.85
7,5,2,0.61,0.69,0.68,0.66
7,5,3,0.66,0.74,0.75,0.73
7,5,4,0.69,0.72,0.76,0.75
7,5,5,0.76,0.76,0.81,0.81
7,5,6,0.78,0.76,0.81,0.81
7,5,7,0.78,0.75,0.81,0.81
7,5,8,0.78,0.75,0.81,0.81
7,10,2,0.61,0.72,0.71,0.69
7,10,3,0.67,0.76,0.77,0.75
7,10,4,0.7,0.77,0.8,0.78
7,10,5,0.77,0.83,0.87,0.84
7,10,6,0.78,0.81,0.86,0.84
7,10,7,0.78,0.81,0.86,0.84
7,10,8,0.78,0.81,0.86,0.84
7,15,2,0.61,0.7,0.72,0.7
7,15,3,0.67,0.75,0.77,0.76
7,15,4,0.7,0.76,0.8,0.79
7,15,5,0.77,0.82,0.87,0.85
7,15,6,0.78,0.82,0.86,0.84
7,15,7,0.78,0.82,0.86,0.84
7,15,8,0.78,0.82,0.86,0.84
7,20,2,0.61,0.7,0.72,0.7
7,20,3,0.67,0.75,0.78,0.76
7,20,4,0.7,0.76,0.81,0.79
7,20,5,0.77,0.82,0.89,0.87
7,20,6,0.78,0.82,0.88,0.86
7,20,7,0.78,0.82,0.88,0.86
7,20,8,0.78,0.82,0.88,0.86
7,25,2,0.61,0.7,0.72,0.7
7,25,3,0.67,0.75,0.78,0.76
7,25,4,0.7,0.76,0.81,0.79
7,25,5,0.77,0.82,0.89,0.87
7,25,6,0.78,0.82,0.88,0.86
7,25,7,0.78,0.82,0.88,0.86
7,25,8,0.78,0.82,0.88,0.86
7,30,2,0.61,0.7,0.72,0.7
7,30,3,0.67,0.75,0.77,0.76
7,30,4,0.7,0.76,0.8,0.79
7,30,5,0.77,0.82,0.88,0.87
7,30,6,0.78,0.82,0.87,0.86
7,30,7,0.78,0.82,0.87,0.86
7,30,8,0.78,0.82,0.87,0.86
7,35,2,0.61,0.7,0.72,0.7
7,35,3,0.67,0.75,0.77,0.76
7,35,4,0.7,0.76,0.8,0.79
7,35,5,0.77,0.82,0.88,0.87
7,35,6,0.78,0.82,0.87,0.86
7,35,7,0.78,0.82,0.87,0.86
7,35,8,0.78,0.82,0.87,0.86
8,5,2,0.61,0.69,0.68,0.66
8,5,3,0.66,0.74,0.75,0.73
8,5,4,0.69,0.72,0.76,0.75
8,5,5,0.76,0.76,0.81,0.81
8,5,6,0.78,0.76,0.81,0.81
8,5,7,0.78,0.75,0.81,0.81
8,5,8,0.78,0.75,0.81,0.81
8,10,2,0.61,0.72,0.71,0.69
8,10,3,0.67,0.76,0.77,0.75
8,10,4,0.7,0.77,0.8,0.78
8,10,5,0.77,0.83,0.87,0.84
8,10,6,0.78,0.81,0.86,0.84
8,10,7,0.78,0.81,0.86,0.84
8,10,8,0.78,0.81,0.86,0.84
8,15,2,0.61,0.7,0.72,0.7
8,15,3,0.67,0.75,0.77,0.76
8,15,4,0.7,0.76,0.8,0.79
8,15,5,0.77,0.82,0.87,0.85
8,15,6,0.78,0.82,0.86,0.84
8,15,7,0.78,0.82,0.86,0.84
8,15,8,0.78,0.82,0.86,0.84
8,20,2,0.61,0.7,0.72,0.7
8,20,3,0.67,0.75,0.78,0.76
8,20,4,0.7,0.76,0.81,0.79
8,20,5,0.77,0.82,0.89,0.87
8,20,6,0.78,0.82,0.88,0.86
8,20,7,0.78,0.82,0.88,0.86
8,20,8,0.78,0.82,0.88,0.86
8,25,2,0.61,0.7,0.72,0.7
8,25,3,0.67,0.75,0.78,0.76
8,25,4,0.7,0.76,0.81,0.79
8,25,5,0.77,0.82,0.89,0.87
8,25,6,0.78,0.82,0.88,0.86
8,25,7,0.78,0.82,0.88,0.86
8,25,8,0.78,0.82,0.88,0.86
8,30,2,0.61,0.7,0.72,0.7
8,30,3,0.67,0.75,0.77,0.76
8,30,4,0.7,0.76,0.8,0.79
8,30,5,0.77,0.82,0.88,0.87
8,30,6,0.78,0.82,0.87,0.86
8,30,7,0.78,0.82,0.87,0.86
8,30,8,0.78,0.82,0.87,0.86
8,35,2,0.61,0.7,0.72,0.7
8,35,3,0.67,0.75,0.77,0.76
8,35,4,0.7,0.76,0.8,0.79
8,35,5,0.77,0.82,0.88,0.87
8,35,6,0.78,0.82,0.87,0.86
8,35,7,0.78,0.82,0.87,0.86
8,35,8,0.78,0.82,0.87,0.86
9,5,2,0.61,0.69,0.68,0.66
9,5,3,0.66,0.74,0.75,0.73
9,5,4,0.69,0.72,0.76,0.75
9,5,5,0.76,0.76,0.81,0.81
9,5,6,0.78,0.76,0.81,0.81
9,5,7,0.78,0.75,0.81,0.81
9,5,8,0.78,0.75,0.81,0.81
9,10,2,0.61,0.72,0.71,0.69
9,10,3,0.67,0.76,0.77,0.75
9,10,4,0.7,0.77,0.8,0.78
9,10,5,0.77,0.83,0.87,0.84
9,10,6,0.78,0.81,0.86,0.84
9,10,7,0.78,0.81,0.86,0.84
9,10,8,0.78,0.81,0.86,0.84
9,15,2,0.61,0.7,0.72,0.7
9,15,3,0.67,0.75,0.77,0.76
9,15,4,0.7,0.76,0.8,0.79
9,15,5,0.77,0.82,0.87,0.85
9,15,6,0.78,0.82,0.86,0.84
